locale,code,name,descr
"bg","ET","Етиопия","Етиопия"
"bg","FI","Финландия","Финландия"
"bg","FJ","Фиджи","Фиджи"
"bg","FK","Фолкландски острови","Фолкландски острови"
"bg","FM","Микронезия","Микронезия"
"bg","FO","Фарьорски острови","Фарьорски острови"
"bg","FR","Франция","Франция"
"bg","GA","Габон","Габон"
"bg","GB","Обединено кралство","Обединено кралство"
"bg","GD","Гренада","Гренада"
"bg","GE","Грузия","Грузия"
"bg","GF","Френска Гвиана","Френска Гвиана"
"bg","GG","Гърнзи","Гърнзи (Нормандски острови)"
"bg","GH","Гана","Гана"
